name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
"Beet greens, raw",22/92,91.2,2.2,0.13,3.7,4.33,0.5,117,2.57,70,41,762,226,6326,30,0.1,0.22,0.4,0.25,0.106,1.5
"Beet greens, cooked",27/115,89.13,2.57,0.2,5.46,2.9,0.6,114,1.9,68,41,909,241,7654,24.9,0.117,0.289,0.499,0.329,0.132,1.81
"Broccoli raab or Broccoli rabe, raw",22/92,92.55,3.17,0.49,2.85,2.7,0.38,108,2.14,22,73,196,33,2622,20.2,0.162,0.129,1.221,0.322,0.171,1.62
"Broccoli raab or Broccoli rabe, cooked",33/136,91.41,3.83,0.52,3.12,2.8,0.62,118,1.27,27,82,343,56,4533,37,0.169,0.14,2.015,0.448,0.22,2.53
"Brussels Sprouts, raw",43/179,86,3.39,0.3,8.95,3.8,2.2,42,1.4,23,69,389,25,754,85,0.139,0.09,0.745,0.309,0.219,0.88
"Brussels Sprouts, cooked",36/150,88.9,2.55,0.5,7.1,2.6,1.74,36,1.2,20,56,317,21,775,62,0.107,0.08,0.607,0.252,0.178,0.43
"Cabbage, chinese or pak-choi, raw",13/55,95.32,1.5,0.2,2.18,1,1.18,105,0.8,19,37,252,65,4468,45,0.04,0.07,0.5,0.088,0.194,0.09
"Cabbage, common, raw",24/100,92.52,1.21,0.18,5.37,2.3,-,47,0.56,15,23,246,18,126,51,0.05,0.03,0.3,0.14,0.095,-
"Cabbage, common, cooked",23/97,92.57,1.27,0.06,5.51,1.9,2.79,48,0.17,15,33,196,8,80,37.5,0.061,0.038,0.248,0.174,0.112,0.14
"Cabbage, red, raw",31/130,90.39,1.44,0.16,7.37,2.1,3.83,45,0.8,16,30,243,27,1116,57,0.064,0.069,0.418,0.147,0.209,0.11
"Cabbage, red, cooked",29/122,90.84,1.51,0.09,6.94,2.6,3.32,42,0.66,17,33,262,28,33,34.4,0.071,0.06,0.382,0.154,0.225,0.12
"Cabbage, savoy, raw",27/113,91,2,0.1,6.1,3.1,2.27,35,0.4,28,42,230,28,1000,31,0.07,0.03,0.3,0.187,0.19,0.17
"Cabbage, savoy, cooked",24/100,92,1.8,0.09,5.41,2.8,-,30,0.38,24,33,184,24,889,17,0.051,0.02,0.024,0.159,0.152,-
"Celery, raw",16/67,95.43,0.69,0.17,2.97,1.6,1.83,40,0.2,11,24,260,80,449,3.1,0.021,0.057,0.32,0.246,0.074,0.27
"Celery, cooked",18/74,94.11,0.83,0.16,4,1.6,2.37,42,0.42,12,25,284,91,521,6.1,0.043,0.047,0.319,0.195,0.086,0.35
"Chard, swiss, raw",19/79,92.66,1.8,0.2,3.74,1.6,1.1,51,1.8,81,46,379,213,6116,3,0.04,0.9,0.4,0.172,0.099,1.89
"Chard, swiss, cooked",20/84,92.65,1.88,0.08,4.13,2.1,1.1,58,2.26,86,33,549,179,6124,18,0.034,0.086,0.36,0.163,0.085,1.89
"Cress, garden, raw",32/134,89.4,2.6,0.7,5.5,1.1,4.4,81,1.3,38,76,606,14,6971,69,0.08,0.26,1,0.242,0.247,0.7
"Cress, garden, cooked",23/96,92.5,1.9,0.6,3.8,0.7,3.11,61,0.8,26,48,353,8,4649,23,0.06,0.16,0.8,0.163,0.157,0.5
"Dandelion greens, raw",45/188,85.6,2.7,0.7,9.2,3.5,0.71,187,3.1,36,66,397,76,10161,35,0.19,0.26,0.806,0.084,0.251,3.44
"Dandelion greens, cooked",33/138,89.8,2,0.6,6.4,2.9,0.5,140,1.8,24,42,232,44,6837,18,0.13,0.175,0.514,0.057,0.16,2.44
"Endive, raw",17/71,93.79,1.25,0.2,3.35,3.1,0.25,52,0.83,15,28,314,22,2167,6.5,0.08,0.075,0.4,0.9,0.02,0.44
"Kale, raw",50/208,84.46,3.3,0.7,10.01,2,-,135,1.7,34,56,447,43,15376,120,0.11,0.13,1,0.091,0.271,-
"Kale, cooked",28/117,91.2,1.9,0.4,5.63,2,1.25,72,0.9,18,28,228,23,13621,41,0.053,0.07,0.5,0.049,0.138,0.85
"Lettuce, butterhead, raw",13/55,95.63,1.35,0.22,2.23,1.1,0.94,35,1.24,13,33,238,5,3312,3.7,0.057,0.062,0.357,0.15,0.082,0.18
"Lettuce, cos or romaine, raw",17/72,94.61,1.23,0.3,3.29,2.1,1.19,33,0.97,14,30,247,8,8710,4,0.072,0.067,0.313,0.142,0.074,0.13
"Lettuce, green leaf, raw",15/62,94.98,1.36,0.15,2.87,1.3,0.78,36,0.86,13,29,194,28,7405,9.2,0.07,0.08,0.375,0.134,0.09,0.22
"Lettuce, iceberg (includes crisphead types), raw",14/58,95.64,0.9,0.14,2.97,1.2,1.97,18,0.41,7,20,141,10,502,2.8,0.041,0.025,0.123,0.091,0.042,0.18
"Lettuce, red leaf, raw",16/68,95.64,1.33,0.22,2.26,0.9,0.48,33,1.2,12,28,187,25,7492,3.7,0.064,0.077,0.321,0.144,0.1,0.15
"Radicchio, raw",23/96,93.14,1.43,0.25,4.48,0.9,0.6,19,0.57,13,40,302,22,27,8,0.016,0.028,0.255,0.269,0.057,2.26
"Sorrel or spinach dock, raw",22/92,93,2,0.7,3.2,2.9,-,44,2.4,103,63,390,4,4000,48,0.04,0.1,0.5,0.041,0.122,-
"Sorrel or spinach dock, cooked",20/84,93.6,1.83,0.64,2.93,2.6,-,38,2.08,89,52,321,3,3474,26.3,0.034,0.086,0.411,0.036,0.1,-
"Spinach, raw",23/97,91.4,2.86,0.39,3.63,2.2,0.42,99,2.71,79,49,558,79,9377,28.1,0.078,0.189,0.724,0.065,0.195,2.03
"Spinach, cooked",23/96,91.21,2.97,0.26,3.75,2.4,0.43,136,3.57,87,56,466,70,10481,9.8,0.095,0.236,0.49,0.145,0.242,2.08
"Cucumber, with peel, raw",15/65,95.23,0.65,0.11,3.63,0.5,1.67,16,0.28,13,24,147,2,105,2.8,0.027,0.033,0.098,0.259,0.04,0.03
"Eggplant or Aubergine, raw",24/102,92.41,1.01,0.19,5.7,3.4,2.35,9,0.24,14,25,230,2,27,2.2,0.039,0.037,0.649,0.281,0.084,0.3
"Eggplant or Aubergine, cooked",35/147,89.67,0.83,0.23,8.73,2.5,3.2,6,0.25,11,15,123,1,37,1.3,0.076,0.02,0.6,0.075,0.086,0.41
"Peppers, sweet, green, raw",20/84,93.89,0.86,0.17,4.64,1.7,2.4,10,0.34,10,20,175,3,370,80.4,0.057,0.028,0.48,0.099,0.224,0.37
